Планета;Дом;Характер;Цели и амбиции;Эмоции;Дружба;Любовь;Семья;Финансовое благополучие;Карьера;Интеллект;Умения;Здоровье;События прошлого;Потенциал развития;Творчество;Риски;Миссия
Солнце;1;Уверенность, независимость, ответственность;Стремление к лидерству и признанию;—;—;—;—;—;—;—;—;Необходимость следить за питанием;—;—;—;Гордость, доминирование;—
Луна;1;Капризность, застенчивость, чувствительность;—;Чрезмерная чувствительность к мнению окружающих;—;—;—;—;—;—;—;Чувствительность к окружающей среде;Влияние матери в детстве;—;—;—;—
Меркурий;1;Лёгкая адаптация, красноречие, возбудимость;—;—;—;—;—;—;—;Любознательность, остроумие;—;Нервные расстройства, потеря веса;—;—;—;—;—
Венера;1;Дружелюбие, эгоизм, избалованность;—;—;Притягивает людей, но может использовать их;—;—;—;—;—;—;—;—;—;—;—;—
Марс;1;Импульсивность, настойчивость, независимость;Желание иметь собственное дело;—;—;—;—;—;Организаторские способности;—;—;Риск травм и простудных заболеваний;—;—;—;Импульсивность, несчастные случаи;—
Юпитер;1;Оптимизм, щедрость;—;Вы уверены в себе и веселы, но можете быть доверчивыми, чересчур эмоциональными и поддаваться собственным слабостям;—;—;—;—;—;—;Способность вдохновлять людей;Меньшая вероятность иметь проблемы с весом;—;Много возможностей в личностном росте;—;—;—
Сатурн;1;Замкнутость, дисциплинированность, трудолюбие;Стремление к достижениям;Чувство неполноценности, депрессии;—;—;—;—;—;—;—;—;Сложное детство, строгое воспитание;—;—;—;—
Уран;1;Независимость, оригинальность, интуиция;—;—;—;—;—;—;—;—;—;—;—;—;—;Нервность, одиночество;—
Нептун;1;Мечтательность, гиперчувствительность;—;—;—;—;—;—;—;—;—;Реакция на воображаемые недуги;—;—;—;Потеря эго, разочарования;—
Плутон;1;Сильная воля, магнетизм, чувствительность;—;—;—;—;—;—;—;—;—;—;—;—;—;Гнев, борьба за убеждения;Развитие способности к исцелению
Солнце;2;Чувство достоинства, самоуважение, стремление к власти;—;—;—;—;—;Деньги приходят и уходят легко, щедрость, экстравагантность;—;—;—;—;—;—;—;Жадность, чувство нелюбимости;—
Луна;2;—;—;Эмоциональная связь с материальными ресурсами;—;—;—;Финансовое положение нестабильно, чередование щедрости и экономии;—;—;—;—;—;—;—;—;—
Меркурий;2;—;—;—;—;—;—;Зарабатывает с помощью ума, знаний, общения;—;—;—;—;—;—;—;Деньги приходят и уходят внезапно;—
Венера;2;—;—;—;—;—;—;Привлекает деньги, тратит быстро, любит роскошь;—;—;—;—;—;—;—;—;—
Марс;2;—;—;—;—;—;—;Много энергии тратится на заработок, расточительность;—;—;—;—;—;—;—;Плохой контроль над привычками, расточительство;—
Юпитер;2;—;Финансовый успех, оптимизм;—;—;—;—;Деньги приходят легко, внушает доверие, может получать финансовую помощь;—;—;—;—;—;—;—;Баловство, экстравагантность, переедание;—
Сатурн;2;Бережливость, практичность, ответственность;—;Депрессия из-за материальных вопросов, чувство неполноценности;—;—;—;Много работает для достатка, но забывает наслаждаться деньгами;—;—;—;—;Акцент на финансовых вопросах в прошлых жизнях;—;—;—;Пересмотр ценностей, любовь к себе
Уран;2;—;—;—;—;—;—;Зарабатывает оригинально, деньги приходят и уходят неожиданно;—;—;—;—;—;—;—;Непредвиденные изменения в финансовом состоянии;—
Нептун;2;Сильное воображение, психическая чувствительность, интуиция, яркие сны;—;—;—;—;—;Финансовые дела могут быть нестабильными, склонность к щедрости или скупости;—;—;—;—;—;—;—;Риск потерь из-за кражи, мошенничества, обмана;—
Плутон;2;Решительность, терпеливость, энергичность, волевые качества;—;—;—;—;—;Огромные финансовые возможности, жажда денег и собственности;—;—;—;—;—;—;—;Риск контроля ресурсов другими, жадность;—
Солнце;3;Постоянная погоня за знаниями, открытость для новых идей;—;—;—;—;—;—;—;Созидательный ум, научное обоснование идей;—;—;—;—;—;Гордость, интеллектуальное доминирование, недоразумения с родственниками;—
Луна;3;Любознательность, ясное выражение чувств, острая потребность в общении;—;—;—;—;—;—;—;Обучение через слушание, гибкость, адаптация;—;—;—;—;—;Эмоциональность, утомление от рутины;—
Меркурий;3;Ум, бдительность, адаптивность, разносторонность, трудолюбие;—;—;—;—;—;—;Преподавание, детальная работа, работа с компьютером, писательство, разговорная деятельность;Свободное выражение мыслей, доведение идей до завершения;Мастер на все руки;—;—;—;—;—;—
Венера;3;Художественные и творческие способности, любовь к путешествиям;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—
Марс;3;Беспокойство, возбудимость, нервность, решительность, энтузиазм;—;—;—;—;—;—;—;Импульсивное мышление, аналитическое мышление;—;—;—;—;—;Проблемы с ближайшими родственниками и соседями;—
Юпитер;3;Оптимизм, тактичность, философские мысли;—;—;—;—;—;—;—;Развитие умственных способностей, интуиция;—;—;—;—;—;Непрактичность, самодовольство;—
Сатурн;3;Серьезность, строгость, терпеливость, аккуратность;—;Депрессия, пессимизм, одиночество, подавленность;—;—;—;—;Организаторские способности, консервативное мышление;Глубокая концентрация, математические способности;—;—;—;—;—;Изоляция от родственников и соседей;—
Уран;3;Независимость, оригинальность, креативность, любопытство, эксцентричность;—;—;—;—;—;—;—;Умственная неугомонность, поиск новой информации;—;—;—;—;—;Напряженные отношения с ближайшими родственниками;—
Нептун;3;Идеализм, творческие способности, визуализация, воображение;—;—;—;—;—;—;—;Впитывание информации без принуждения, ясновидение;—;—;—;—;—;Нервные расстройства, ненадежность, негативное настроение;—
Плутон;3;Разносторонность, вдохновленность, исследовательский характер;—;—;—;—;—;—;—;Поиск ответов на вопросы, исследование, решение головоломок;—;—;—;—;—;Разочарование, депрессия, беспокойство;—
Солнце;4;Желание построить крепкие основы, гордость, творческий потенциал;—;—;—;—;Сильное влияние родителей;—;—;—;—;—;—;—;—;Требовательность, склонность к диктаторству;—
Луна;4;Чувство семейности, любовь к антиквариату, потребность в безопасности;—;—;—;—;Сильное влияние родителей, частые переезды;—;Работа дома, создание уютной атмосферы;—;—;—;—;—;—;—;—
Меркурий;4;Прилежность, интерес к литературе, домашнее обучение;—;Легкая возбудимость;—;—;—;—;—;Постоянное изучение, чувство внутренней безопасности;—;—;—;—;—;Беспокойство, частые переезды;—
Венера;4;Желание роскошного дома, артистизм, гостеприимство;—;—;—;Любовь к семье и детям;—;—;—;—;—;—;—;—;—;Вероятность набора веса с годами;—
Марс;4;Стремление к независимости, безопасности, чрезмерная требовательность;—;Сильные эмоции, скрытое противоборство;—;—;Напряжение или вражда в семейном окружении;—;—;—;—;—;—;—;—;Эмоциональные всплески, склочность;—
Юпитер;4;Щедрость, уверенность в себе, гостеприимство, патриотизм;—;—;—;—;Сильное влияние родителей, возможное наследство;Благосостояние в зрелые годы;—;—;—;—;—;—;—;Показушность, слабости;—
Сатурн;4;Консервативность, стремление к безопасности, страх перемен;—;Внутреннее беспокойство, язвы;—;—;Много обязанностей, строгая дисциплина, забота о родителях;—;Работа с землей, недвижимость, антиквариат;—;—;—;—;—;—;Диктаторские качества, проблемы в семейной жизни;Усвоение жизненных уроков
Уран;4;Нерешенные проблемы в доме, неугомонность, желание свободы;—;—;—;—;Необычные отношения с родителями, семейные тайны;—;—;—;—;—;—;—;—;Внезапные изменения, эмоциональное влияние семьи;Интерес к астрологии, метафизике
Нептун;4;Внутренняя неуверенность, незащищенность, растерянность;—;Необъяснимые страхи, тревоги;—;—;Духовная связь с родителями, идеализация домашнего окружения;—;—;—;—;—;Смутные воспоминания о корнях;—;—;Фантазии, отрыв от реальности;—
Плутон;4;Воображение, интуиция, стремление к гармонии дома;—;—;—;—;Сильное влияние родителей, возможная напряженная обстановка дома;—;—;—;—;—;—;—;—;Взрывной темперамент, борьба за власть в семье;—
Солнце;5;Желание раскрыть творческий потенциал, наслаждение жизнью;—;—;—;—;—;—;—;—;—;—;—;—;Спорт, книги, актерское мастерство;Тенденция к диктаторству, ненужные риски;—
Луна;5;Эмоциональность, поиск удовольствий, обаяние;—;Колебания настроения, непостоянство;—;—;—;—;Театральная деятельность, забота о детях;—;—;—;—;—;—;Спекуляции, драматизация переживаний;—
Меркурий;5;Демонстрация интеллектуальных способностей, стремление делиться знаниями;—;—;—;Необходимость интеллектуального взаимодействия с партнером;—;—;Обучение детей, театральная деятельность, литература, разговорный жанр;Стратегические игры, головоломки, стимулирование умственных способностей;—;—;—;—;—;—;—
Венера;5;Ласковость, креативность, привлекательность;—;—;—;—;—;—;Драматургия, живопись, музыка, преподавание;—;—;—;—;—;—;Излишества;—
Марс;5;Креативность, азарт, предприимчивость;—;—;—;Влечение к противоположному полу, знаки внимания;—;—;—;—;—;—;—;—;—;Эгоизм, трения с детьми;—
Юпитер;5;Оптимизм, творческие способности, желание поделиться знаниями;—;—;—;Множество романтических возможностей;—;—;Преподавание, работа с детьми;—;—;—;—;—;—;Азартные игры, спекуляции;—
Сатурн;5;Чувство нелюбимости, эмоциональная ограниченность;—;Эмоциональная подавленность, холодность;—;Охлаждение романтических отношений;—;—;—;—;—;—;—;—;—;Строгость к детям, трудности в выражении чувств;—
Уран;5;Творческая оригинальность, стремление к независимости;—;—;—;Нестандартный подход к романтике;—;—;—;—;—;—;—;—;—;Спекуляции, внезапные потери;—
Нептун;5;Артистичность, креативность, хаотичные любовные связи;—;—;—;Безнадежный романтизм, поиск идеала;—;—;Актерское мастерство, сцена;—;—;—;—;—;—;Идеализм, потеря практичности;—
Плутон;5;Необычные таланты, творческий потенциал, стремление к власти;—;—;—;Акцент на сексуальном аспекте, контроль;—;—;—;—;—;—;—;—;—;Трудности в понимании детей, чрезмерный акцент на сексе;—
Солнце;6;Потребность служить, преданность, лояльность;—;Жалость к себе, ипохондрия;—;—;—;—;Административная работа, стремление к идеальности;—;—;Беспокойство, тревога, стресс;—;—;—;Офисный тиран, чрезмерная требовательность;—
Луна;6;Внимательность к коллегам, стремление к продуктивной работе;—;Капризность, чрезмерная чувствительность;—;—;—;—;Служение другим, трудоголизм;—;—;Проблемы с пищеварением, эмоциональная напряженность;—;—;—;Переедание, смена мест работы;—
Меркурий;6;Аналитические способности, любовь к компьютерам и электронике;—;Беспокойство, волнение;—;—;—;—;Работа умственного характера, интерес к здоровью и диете;—;—;Нервные расстройства, проблемы со здоровьем;—;—;—;Частая смена деятельности;—
Венера;6;Дипломатичность, желание улучшить условия труда;—;—;—;—;—;—;Посредничество на работе, создание приятной рабочей атмосферы;—;—;Злоупотребление сладкой и обильной пищей;—;—;—;—;—
Марс;6;Трудолюбие, эффективность, динамичность;—;Раздражение, нетерпеливость;—;—;—;—;—;—;—;Лихорадки, ожоги, обваривания, аварии на работе;—;—;—;Импульсивность, поспешность;—
Юпитер;6;Хорошее здоровье, помощь другим, лояльность;—;—;—;—;—;—;Вдохновение коллег, доброжелательность;—;—;Проблемы с печенью и кровью при переедании;—;—;—;Чрезмерная увлеченность, расточительность;—
Сатурн;6;Практичность, добросовестность, трудолюбие;—;Беспокойство, тревога, депрессии;—;—;—;—;Трудоголизм, работа с жесткими сроками;—;—;Проблемы с усвоением питательных веществ, ипохондрия;—;—;—;Трудности на рабочем месте, изнеможение;—
Уран;6;Уникальные способности, оригинальные методики;—;Нервозность, тревожность;—;—;—;—;Ненормированный рабочий день, независимость;—;—;Странные и неожиданные недуги, спазмы;—;—;—;Резкость, отстраненность к коллегам;—
Нептун;6;Стремление служить, чувствительность к условиям работы;—;—;—;—;—;—;—;—;—;Необычные проявления болезней, реальные или воображаемые;—;—;—;Двуличные коллеги, мученичество;—
Плутон;6;Личностные трансформации через работу, сотрудничество;—;—;—;—;—;—;Решение сложных проблем, работа детектива;—;—;Инфекционные заболевания, проблемы с толстой кишкой;—;—;—;Чрезмерный контроль, ипохондрия;—
Солнце;7;Желание гордиться партнером, стремление к социальному признанию;—;—;—;Партнер, который вдохновляет и поддерживает;—;—;—;—;—;—;—;—;—;Эгоизм, властность, тщеславие партнера;—
Луна;7;Чувствительность, поиск безопасности через партнерство;—;Эмоциональная зависимость, непостоянство;—;Партнер, который заботится и воспитывает;—;—;—;—;—;—;—;—;—;Частая смена партнеров, плохое настроение;—
Меркурий;7;Стремление к интеллектуальному партнеру, обмен идеями;—;—;—;Партнер, который бросает вызов и развивает ваш ум;—;—;—;Постоянное общение, дискуссии, споры;—;—;—;—;—;—;—
Венера;7;Общительность, доброжелательность, стремление к гармонии;—;—;—;Партнер, который обеспечивает красоту, роскошь и социальный статус;—;—;—;—;—;—;—;—;—;Чрезмерный акцент на чувственных удовольствиях;—
Марс;7;Независимость, стремление к соревнованию;—;—;—;Партнер, который бросает вызов и конкурирует;—;—;—;—;—;—;—;—;—;Вспыльчивость, нетерпимость, насилие;—
Юпитер;7;Оптимизм, стремление к расширению через партнерство;—;—;—;Партнер, который помогает развить нравственное мировоззрение;—;Выгода через брак;—;—;—;—;—;—;—;Самоуверенность, расточительность партнера;—
Сатурн;7;Стремление к ответственности, долгосрочным отношениям;—;Депрессия, тревожность, ограничения;—;Партнер, который пробуждает чувство ответственности;—;—;—;—;—;—;Кармическая связь из прошлого;—;—;Несчастливый брак, скука, отсутствие любви;—
Уран;7;Необычные, нетрадиционные отношения, стремление к свободе;—;—;—;Партнер, который бросает вызов умственно и эмоционально;—;—;—;—;—;—;—;—;—;Внезапные изменения, недостаток обязательств;—
Нептун;7;Идеализация партнера, духовные отношения;—;—;—;Партнер, который вдохновляет и выявляет сострадание;—;—;—;—;—;—;—;—;—;Самообман, разочарование, партнер с зависимостями;—
Плутон;7;Контроль, власть, трансформация через партнерство;—;—;—;Партнер, который помогает раскрыть внутренние ресурсы;—;—;—;—;—;—;—;—;—;Конкуренция, воинственность в отношениях;—
Солнце;8;Стремление к самосовершенствованию, интерес к мистицизму и оккультизму;—;Эмоциональная стабильность;—;—;—;Возможность получения наследства, стабильные финансы;—;—;—;—;—;—;—;Эгоизм, требующий преобразования;—
Луна;8;Жажда защиты, психическая чувствительность;—;Сомнения, беспокойство, зависть, ревность;—;—;—;Финансовое благополучие через партнерство, бизнес или брак;Работа, связанная с расследованиями, реформами, психологией;—;—;—;—;—;—;—;—
Меркурий;8;Талант к анализу, исследованию, наблюдению;—;—;—;—;—;Неустойчивое финансовое положение;Детективная работа, расчет налогов, страхование;Интерес к смерти, сексу, магии, сверхъестественному;—;—;—;—;—;—;—
Венера;8;Наслаждение физическим комфортом, интерес к врачеванию и метафизике;—;—;—;—;—;Возможность получения наследства, роскошь;—;—;—;—;—;—;—;Лень, потворство низким желаниям;—
Марс;8;Энергия, энтузиазм, интерес к исследованиям и раскрытию тайн;—;—;—;Финансовые проблемы из-за партнера;—;Финансовый успех через брак или наследство;Интерес к врачеванию или хирургии;—;—;—;—;—;—;Необходимость контроля над страстями и низкими пороками;—
Юпитер;8;Оптимизм, вера в партнера, эмоциональность;—;—;—;—;—;Финансовая выгода через брак, партнерство или наследство;Поддержка и исцеление людей;—;—;—;—;—;—;—;—
Сатурн;8;Терпение, бережливость, строгая самодисциплина;Духовное развитие через мудрость;—;—;Проблемы, связанные с сексом и властью;—;Ограничения в наследстве, налогах, страховых взносах;—;—;—;—;Боль из прошлого, засевшая в душе;—;—;Чувственная природа, требующая сдержанности;
Уран;8;Нетрадиционные взгляды на жизнь, секс и смерть;—;—;—;—;—;Внезапные потери или заработки, наследство;Интерес к лечению через наложение рук;—;—;—;—;—;—;Нервное напряжение, риск суицида в ранние годы;—
Нептун;8;Чувствительность, интуиция, вещие сны и видения;—;—;—;—;—;Финансовые проблемы при нечестности;Интерес к жизни после смерти, естественному исцелению;—;—;—;—;—;—;—;—
Плутон;8;Интуиция, деловое чутье, интерес к метафизике, проницательность;Поиск смысла жизни, духовное развитие;—;—;Денежные проблемы в браке и партнерстве;—;Возможность получения наследства, финансовые потрясения;—;Аналитический ум, интерес к смерти и Вселенной;—;—;—;—;—;Попытки доминирования, контроль, сильные природные желания;—
Солнце;9;Стремление к высшему идеалу, научному доказательству;—;—;—;—;—;—;—;Дальновидное мышление, интерес к иностранным языкам и культуре;—;—;—;—;—;Догматизм, фанатизм;—
Луна;9;Мечтательность, поиск безопасности через философию и религию;—;—;—;—;—;—;Учитель, интерес к спорту, хобби, наукам;Познавательные сны, философские размышления;—;—;—;—;—;—;—
Меркурий;9;Интеллектуальные поиски, интерес к праву, религии, философии;—;—;—;—;—;—;Учитель, переводчик, издательская деятельность;Легкая адаптация, изучение иностранных языков;—;—;—;—;—;—;—
Венера;9;Любовь к путешествиям, понимание культурных различий;—;—;—;—;—;—;—;Интерес к религии, философии, высшему образованию;—;—;—;—;—;—;—
Марс;9;Энтузиазм, независимость в размышлениях, религиозное рвение;—;—;—;—;—;—;—;Сильные убеждения, свободная философия жизни;—;—;—;—;—;Фанатизм, ссоры с родственниками;—
Юпитер;9;Оптимизм, терпимость, тактичность, фанатизм;—;—;—;—;—;—;Руководство, воодушевление других;Интерес к праву, религии, философии, пророческие способности;—;—;—;—;—;Категоричность в вере, отсутствие веры;—
Сатурн;9;Ортодоксальные и традиционные убеждения, серьезность;—;—;—;—;—;—;—;Критичность в отношении веры других людей;—;—;—;—;—;Срывы планов, отсрочки в путешествиях;—
Уран;9;Оригинальное мышление, интерес к метафизике, иностранным культурам;—;—;—;—;—;—;—;Мысленные приключения, мечты, видения;—;—;—;—;—;Нервозность, психические нарушения;—
Нептун;9;Идеализм, мистицизм, философия;—;—;—;—;—;—;—;Яркие и пророческие мечты;—;—;—;—;—;Фанатизм, проблемы с родственниками;—
Плутон;9;Интуиция, проницательность, интерес к религии и философии;—;—;—;—;—;—;—;Желание знать все, метафизический опыт;—;—;—;—;—;Фанатизм, умственное напряжение;—
Солнце;10;Желание достичь успеха и власти, амбициозность;—;—;—;—;—;—;Вдохновение других, признание достижений;—;—;—;—;—;—;Эгоизм, зависимость от влиятельных людей;—
Луна;10;Желание добиваться, обаяние, влияние на людей;—;—;—;—;—;—;Общественный пост, работа с изменениями, женщинами, людьми;—;—;—;—;—;—;Эмоциональная нестабильность, трудности в подчинении;—
Меркурий;10;Талант к письму и речи, живость ума;—;—;—;—;—;—;Учитель, профессии, связанные с передачей идей, путешествия;—;—;—;—;—;—;—;—
Венера;10;Гармоничный характер, популярность, оптимизм;—;—;—;—;—;—;Публичные выступления, пение, комфортное финансовое положение;—;—;—;—;—;—;Лень, злоупотребление энергией других;—
Марс;10;Амбициозность, энергичность, организаторские способности;—;—;—;—;—;—;Лидерство, инициатива в карьере, разнообразие в деятельности;—;—;—;—;—;—;Разногласия с родителями или начальством;—
Юпитер;10;Щедрость, притягательность, чувство ответственности;—;—;—;—;—;—;Карьерный рост, успех в профессии и обществе;—;—;—;—;—;—;—;—
Сатурн;10;Самостоятельность, трудолюбие, организаторские способности;—;—;—;—;—;—;Медленный успех через упорство, контроль амбиций;—;—;—;—;—;—;Проблемы с родителями, разочарования, неудачи;—
Уран;10;Независимость, творческие способности, интуиция;—;—;—;—;—;—;Карьера в электронике, компьютерах, изобретениях, метафизике;—;—;—;—;—;—;Сумасшествие от рутинной работы;—
Нептун;10;Идеализм, запутанные ситуации в карьере;—;—;—;—;—;—;Успех в художественной, гуманитарной, экстрасенсорной карьере;—;—;—;—;—;—;Чувство отторжения одного из родителей;—
Плутон;10;Самоуверенность, стремление к власти, работа на благо общества;—;—;—;—;—;—;Работа за кулисами, инстинкт понимания мотивов людей;—;—;—;—;—;—;Падение из-за злоупотребления силой и властью;—
Солнце;11;Желание достичь высоких целей, либеральность, широкий кругозор;—;—;Умение дружить с влиятельными людьми, наслаждение работой в группе;—;—;—;Организаторские способности, лидерство в деловой сфере;—;—;—;—;—;—;Желание ставить свои цели выше целей группы;—
Луна;11;Популярность среди женщин, чувство безопасности в группе;—;—;Друзья-женщины, отзывчивость к чувствам других;—;—;—;Работа на благо группы, поддержка дружбы в рабочей ситуации;—;—;—;—;—;—;—;—
Меркурий;11;Оригинальный, интеллектуально-развитый ум;—;—;Друзья, способствующие развитию ума, стимул в общении с разными людьми;—;—;—;Представитель или секретарь организации;—;—;—;—;—;—;—;—
Венера;11;Общительность, тактичность, дружелюбие;—;—;Много полезных друзей, желание расслабляться с близкими по духу;—;—;—;—;—;—;—;—;—;—;Риск вреда здоровью из-за друзей, навязчивость;—
Марс;11;Сильные желания, лидерские способности;—;—;Активное участие в дружеских отношениях, помощь друзьям;—;—;—;Лидерство в группе;—;—;—;—;—;—;—;—
Юпитер;11;Много друзей, готовых помочь, популярность;—;—;Друзья из разных культур, верные и влиятельные;—;—;—;Организация больших групповых мероприятий, благотворительность;—;—;—;—;—;—;Чрезмерная снисходительность, экстравагантность;—
Сатурн;11;Много знакомых, но мало настоящих друзей, чувство ответственности;—;Неловкость из-за уникальности;Крепкая дружба, вовлеченность в группы с серьезными целями;—;—;—;—;—;—;—;—;—;—;Недооцененность усилий в группе, вопросы о различиях с другими;—
Уран;11;Интуиция, оригинальность, изобретательность;—;—;Дружба с необычными людьми, изменчивость в отношениях с группами;—;—;—;Реформаторство, предводительство;—;—;—;—;—;—;—;—
Нептун;11;Идеализм, интерес к всеобщему благу;—;—;Друзья с художественными или музыкальными наклонностями, ненадежные;—;—;—;—;—;—;—;—;—;—;Риск алкогольной или наркотической зависимости из-за друзей;—
Плутон;11;Лояльность друзей, харизматичность;—;—;Друзья, которые приходят и уходят, личный рост через дружбу;—;—;—;Лидерство в группах, борьба за благо других;—;—;—;—;—;—;Контроль со стороны друзей или над друзьями;—
Солнце;12;Желание служить другим, созерцательность, интерес к оккультизму;—;Недостаток уверенности в себе;—;—;—;—;—;—;—;—;—;—;—;Жалость к себе, игра мученика;—
Луна;12;Работа в закрытых учреждениях, чувствительность;—;Чувство тяжелого креста, страдания;—;—;—;—;Работа с несчастными людьми, социальное обеспечение;—;—;—;—;—;—;Тайные враги, неприятности из-за чувствительности;Служение людям
Меркурий;12;Проницательный, интуитивный ум, интерес к экстрасенсорике;—;—;—;—;—;—;—;Понимание глубинных смыслов, скрытность;—;Слабые слуховые органы, нервные сбои;—;—;—;Тайные враги, злословие;—
Венера;12;Любовь к одиночеству, тайные отношения, сострадание;—;—;—;Тайные отношения, скрытые чувства;—;—;—;—;—;—;—;—;—;Саморазрушение через выпивку, наркотики или секс;Поиск смысла жизни
Марс;12;Чувствительность, подавленные желания, паранойя;—;Одиночество, внутренние обиды;—;—;—;—;—;—;—;—;—;—;—;Ложные обвинения, клевета, тайные враги;Понимание смысла жизни
Юпитер;12;Благотворительность, вера в будущее, любовь к человечеству;—;—;—;—;—;—;Работа в больнице или тюрьме;—;—;—;—;—;—;Нереалистичность, необходимость тщательного планирования;—
Сатурн;12;Внутренняя дисциплина, чувствительность, страх;—;—;—;—;—;—;Работа за кадром, помощь человечеству;—;—;Хронические заболевания;Грехи прошлых жизней;—;—;Чувство обреченности, желание отступить от общества;—
Уран;12;Интуиция, гуманитарные идеалы, скрытность;—;Чувство одиночества, обреченности;—;—;—;—;—;—;—;Проблемы с нервной системой;—;—;—;Страх быть осмеянным, нерешенные подсознательные трудности;—
Нептун;12;Рефлексивность, интуиция, экстрасенсорные способности;—;Чувство одиночества, подчинения;—;—;—;—;Служба ограниченным людям;—;—;—;—;—;—;Тайные враги, подрыв авторитета;—
Плутон;12;Поиск истины и мудрости, желание преобразования;—;Угнетенность, желание отступить от общества;—;—;—;—;Служба и помощь другим;—;—;—;—;—;—;Случайные потрясения, угнетенность;—
